chain,token,tx_hash,block_or_slot,timestamp,datetime_utc,amount,sender_wallet,receiver_wallet
solana,USDC,4uiLxYpydfE7AeGU4bc2Kc33pSzm9jAAVRfz9wdonRksesFwdMPmS2XxnErviDCYWV4vpT54pLttWQRLatteCAai,426966665,1781658339,2026-06-17T01:05:39+00:00,162.40,9cj4MdnE76te73JJ49jZmh68WsP4s68Ffgrj38bAkSXq,GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL
solana,USDC,4aU1p2rS8YQunbXaQEo2AQEFaDehqnKK2T1T3tH2Lo3EUexP2VYcvR7moqi4KnY1CVN8t3Gwz4hin7geHFWCSxA6,426966665,1781658339,2026-06-17T01:05:39+00:00,207.71,riDi6z4Lzch9FvcEzmkkx9gqCoPniMrTMFchbGaikGq,LVcDubF4BFsEw8qmxupmw74bbZfiya99kor5c3Hh24r
solana,USDC,4gxhBZPEEq1c6PfWaPZtYwNdnLzUzJEjYRQavjUxjWM2MhDa22XDwEt747j3unqh9gV6j5rnC5iYLnzbRPMoUfjM,426966665,1781658339,2026-06-17T01:05:39+00:00,109.24,2Xfc8WFfHCn6CMr1wpYr2vvY3NLMwcM9cDHrd8abBETB,DcQNaByvstRZCERvb9UJHgHiQe8YX2FMdPptM86psQyz
solana,USDC,4FxKEhN9v4jmZevkndEUsHdMEiwGEHTt9EWEudaKg3GFuymjz57zjotnZH9NYd6XeubPeJfqsRyrQ8NzuAKRY6a8,426966662,1781658338,2026-06-17T01:05:38+00:00,109.23,DcQNaByvstRZCERvb9UJHgHiQe8YX2FMdPptM86psQyz,7mcKEBY6Y8EcCst4u55aNAP84Gn2a2VUGCV1n6AS3KoZ
solana,USDC,4FxKEhN9v4jmZevkndEUsHdMEiwGEHTt9EWEudaKg3GFuymjz57zjotnZH9NYd6XeubPeJfqsRyrQ8NzuAKRY6a8,426966662,1781658338,2026-06-17T01:05:38+00:00,109.24,2Xfc8WFfHCn6CMr1wpYr2vvY3NLMwcM9cDHrd8abBETB,DcQNaByvstRZCERvb9UJHgHiQe8YX2FMdPptM86psQyz
solana,USDC,4nEMajNw7VGrTTUm8hk2zWeyJecjeJWonn3mGbGVFzBX235V3Qjk8BRn3EP9ehsanzQ945Eb5xkrmY6781jetVh7,426966662,1781658338,2026-06-17T01:05:38+00:00,599.17,Hasda78TSaT9bjiPxDBvP4GpohFpP3TDTaJEcCYK5kyN,GYqHjuDzTiw7i52Xv1qohDE6eJr6eSZpsrBVikGZyaFV
solana,USDC,2NF5gWoqxLRvREoaZN3sy8yahgdiBkK36KiK2p9mUyRrx9vQCVGaXWL6aci1toBddJTvKLeMH46F8ydQA2u1iePn,426966662,1781658338,2026-06-17T01:05:38+00:00,207.71,7nwPXZNhBj88jcC22VNBQUYLohTsQWh5VGxWqnAAcvMf,LVcDubF4BFsEw8qmxupmw74bbZfiya99kor5c3Hh24r
solana,USDC,2NF5gWoqxLRvREoaZN3sy8yahgdiBkK36KiK2p9mUyRrx9vQCVGaXWL6aci1toBddJTvKLeMH46F8ydQA2u1iePn,426966662,1781658338,2026-06-17T01:05:38+00:00,207.72,2Xfc8WFfHCn6CMr1wpYr2vvY3NLMwcM9cDHrd8abBETB,7nwPXZNhBj88jcC22VNBQUYLohTsQWh5VGxWqnAAcvMf
solana,USDC,5JipLRX6K3wkHTpLHuuVouzBkCam8YeSEwVLSjqpAR9PLTn5KDb5KFHD9KWwrydiwxY6JatVFMwK9uc7uwe6u24b,426966662,1781658338,2026-06-17T01:05:38+00:00,965.98,2Cq2RNFFxxPXL7teNQAji1beA2vFbBDYW5BGPBFvoN9m,ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn
solana,USDC,42iRrACs398FcktQ7ow8HjcDKF511hcdTnY7s4kSPUrAN39SWdXmoPDhG1Puq99cvhMKGLdUWLzMuHq5xnGpu1kN,426966630,1781658324,2026-06-17T01:05:24+00:00,360.84,93hyYsRqJvXJQ19apRomf3X9fCSkDQYu7cyRehBxWU8V,FGQoLafigpyVb7mLa6pvsDDpDaEE3JetrzQoAggTo3n7
solana,USDC,4owD3aVuqMxRvJpcv7UBZXZsA9tcn9ayrQRG4rzg8c7e6ZgcKNg2x56qpXkkVrKM4zR6te3Swxy5PVaWyjdH11gu,426966630,1781658324,2026-06-17T01:05:24+00:00,360.84,EEUNhHsRoUVgJUFpkupmdF4v7uLUw1zhYLp7u9s8zFqG,93hyYsRqJvXJQ19apRomf3X9fCSkDQYu7cyRehBxWU8V
solana,USDC,2J76EGm8Evk3asJzPJ2CRSCNPaDuY3g5o8kNWbEAZT7Gw68spEWpe1QBipbmotgFQTxSHNT5pmzbeu78YkQkyP4j,426966630,1781658324,2026-06-17T01:05:24+00:00,354.41,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,DJNtGuBGEQiUCWE8F981M2C3ZghZt2XLD8f2sQdZ6rsZ
solana,USDC,2yZUoDPR7HZQCRCoRmPYrcRZcipG88KjrhtEquAwehZjgsgzUqhuqdinetVri4hGv5L1vDrvvAvFYLWkXN2N8uLW,426966630,1781658324,2026-06-17T01:05:24+00:00,636.01,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,3ucNos4NbumPLZNWztqGHNFFgkHeRMBQAVemeeomsUxv
solana,USDC,5XabGkHgEwfqh8pCPdRsLRUgzwHsZ2q3bBVYVKuWBAzTkNUNZcteQkwHWJmCQ22cb2uDqD3c7e51J4TxxoH3rji7,426966630,1781658324,2026-06-17T01:05:24+00:00,193.35,F2BstVuVWqBntH439tz7UXRHDwfCUFsrDzniZ2qjKLRT,JD6rVaerbyz6wjQ433nrw6bFTgFrp46MiYmi8EtUAfsG
solana,USDC,5XabGkHgEwfqh8pCPdRsLRUgzwHsZ2q3bBVYVKuWBAzTkNUNZcteQkwHWJmCQ22cb2uDqD3c7e51J4TxxoH3rji7,426966630,1781658324,2026-06-17T01:05:24+00:00,193.34,JD6rVaerbyz6wjQ433nrw6bFTgFrp46MiYmi8EtUAfsG,H3TyE2Q3rDrvRXD8PzHYE7BS2hafGuybje4qXCtyWqMH
solana,USDC,4ZMz6KzMmWBBBgLM66KJdcAW2yF7NBVFRoo1ZKCG1iLjHATt9SKuetTPZL6C7y41YuC5j2Ho3yG3LSJYNHL5Ja5s,426966630,1781658324,2026-06-17T01:05:24+00:00,448.11,BDVsoFu2GrvXG8HRjfp8aCyphSmEhb9Sm92siVSb6VES,UUAhspPgUdGuXUnokmxERH1VvNGNh1ouN3mfcbfV8yd
solana,USDC,4ZMz6KzMmWBBBgLM66KJdcAW2yF7NBVFRoo1ZKCG1iLjHATt9SKuetTPZL6C7y41YuC5j2Ho3yG3LSJYNHL5Ja5s,426966630,1781658324,2026-06-17T01:05:24+00:00,448.11,UUAhspPgUdGuXUnokmxERH1VvNGNh1ouN3mfcbfV8yd,8FnX3xo2yYw3EUE6w3nQA4GfXGS9wpK6oj3veJpbFzLo
solana,USDC,b1dacEPKWLf9UHWjqSG2S4YT7of9DR4FM3WAJcicXfG3nKZgZvdNJ21TiEbRtzR4zGfa6NRaZ9LYWnhLZ5fBx73,426966630,1781658324,2026-06-17T01:05:24+00:00,293.87,ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,3wvw9sHBy8WaHtMTNsqAiiR9d3HpvyCAvEaWFMJFN3pV
solana,USDC,b1dacEPKWLf9UHWjqSG2S4YT7of9DR4FM3WAJcicXfG3nKZgZvdNJ21TiEbRtzR4zGfa6NRaZ9LYWnhLZ5fBx73,426966630,1781658324,2026-06-17T01:05:24+00:00,293.87,65ZHSArs5XxPseKQbB1B4r16vDxMWnCxHMzogDAqiDUc,ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn
solana,USDC,5zTdtUoWr9bhA6RwmAKk8ArumVTrD8KzSipm1sk9aCMB21id8SPUfiww6qjfTkCMNnb82kt2J87Xt54ZwkJyiTqs,426966630,1781658324,2026-06-17T01:05:24+00:00,1576.53,EHcege7dok1iYs7SxL2XzDPvhg6XzMVcx2V5SkMUurJP,8NQ32SyFKD1d5kenq4oM8Da6C6J9TQSMW1uAgFRveEQr
solana,USDC,5zTdtUoWr9bhA6RwmAKk8ArumVTrD8KzSipm1sk9aCMB21id8SPUfiww6qjfTkCMNnb82kt2J87Xt54ZwkJyiTqs,426966630,1781658324,2026-06-17T01:05:24+00:00,1576.53,8NQ32SyFKD1d5kenq4oM8Da6C6J9TQSMW1uAgFRveEQr,8FnX3xo2yYw3EUE6w3nQA4GfXGS9wpK6oj3veJpbFzLo
solana,USDC,5MjSAfAFt86FMxHcvocL7YBHoY52mzmdRL9eFd5fJgY9bJfgfENsP4WGoAiTXDYrt7sB1j2gfNdgbLQk7qw9zE15,426966629,1781658324,2026-06-17T01:05:24+00:00,360.84,93hyYsRqJvXJQ19apRomf3X9fCSkDQYu7cyRehBxWU8V,FGQoLafigpyVb7mLa6pvsDDpDaEE3JetrzQoAggTo3n7
solana,USDC,2bN9txSjXHzkAWUsTPyKWTcK2hwoyGzhTeHcy6VYVcTLyAcKd2GBESYkbd1wnvho8CZKZTwUKBkjzkKZLjAKhM1t,426966629,1781658324,2026-06-17T01:05:24+00:00,360.84,EEUNhHsRoUVgJUFpkupmdF4v7uLUw1zhYLp7u9s8zFqG,93hyYsRqJvXJQ19apRomf3X9fCSkDQYu7cyRehBxWU8V
solana,USDC,5K6HVQcBTi9gHmiZBQvtGX85YQx7JPxEbMi2u5arPmkJE83K5YjXJ121irWksS34ZyDnQKzdDAwPotY6Khx3dgsN,426966628,1781658324,2026-06-17T01:05:24+00:00,113.81,H2SQw4zZnR37kM34s4XjLdxcft8GBeGcHgb4Hsujffoc,7VppbpBRjM4Z5Hio6dMmEWqdBrSxR9F9ePNe5qSKx9VL
