chain,token,tx_hash,block_or_slot,timestamp,datetime_utc,amount,sender_wallet,receiver_wallet
solana,USDC,2RqZSGfDdyym7E47u6osyFPXRju42jo6ur2QrBBiU2WDLpT8Vmp1B5GTJ9yXbS1qQjN1PXhTLeeZ5hm3nNPrCGak,426985348,1781665744,,10881.60,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,7ubS3GccjhQY99AYNKXjNJqnXjaokEdfdV915xnCb96r
solana,USDC,3W6szinAh8Bhz9eBWj6CpoBxqU95ZZ9yPzU2ieA2pYoXzbgBGiJTxCQGrLBCPw6coAcHtPG4CMcXDHxgcJvqDSHj,426985142,1781665660,,10058.58,HBDaV4ndLuVe6qK1vGCXReon4B1DJKa9UrbqP8cVqywx,69yhtoJR4JYPPABZcSNkzuqbaFbwHsCkja1sP1Q2aVT5
solana,USDC,x8HgW8JZtfTtwyifWrG4GLfGDxnop523QjATwHtEAoU3MBXHR5nhidQ9CT1pGw71u1UDuP4rwVyDJdmP3srMvMR,426985082,1781665636,,10642.68,5HQZd9ovzAF1TLnHRAq1zcSnXC9HAp3EwhoxMHvo8rxB,HLj8dHZPr8brQcxcn7jdP7VaMNPD7fvUbTj7qYemTgSe
solana,USDC,3Zxzm1NYwd7uyytW3hhJK8WM2F4gD5WmvmcyWubPWQpuF9Q6AQ7fUTbFPZSfRjLw3KRtMYygBT1JJ8kaqufwYGgR,426985099,1781665643,,9556.97,MfDuWeqSHEqTFVYZ7LoexgAK9dxk7cy4DFJWjWMGVWa,3xTsB7jVFGRT5F5gdyuZLsApNznSjn1JVincoPY5fejh
solana,USDC,5otHuF9qVRYgy569sZ5Bvbk7bW2B1gaeHzBopjqc6yMkTjuUTXpJmjTPSr52QBwLmCv6JUJPinWqWMamLQ2Scxns,426985041,1781665620,,9271.91,ANCx141SujgVdbKz9NTEH8F38qWsnyyXsVju64aU3qLB,6AGp6zbGNuyZpmzeswv9KCNU15Rf37UQDqDqFAeHmS8d
solana,USDC,5esiTmAxnwrp5aMDKftwpbhgUEa68m5aKDSGzG1E463GWuAsjevu6WMdMFw5Z2GGrXxeygiYo62SSGKFjtmCTeyh,426985282,1781665716,,9029.63,GtwzYxBQcPFNFQcYbdELuaKzb4DGJpGVU2ehLhzbffCw,5GH9XeyjHjakgDmr4BQAr3FJ3rXsBwG1DVa7tSDjYyh3
solana,USDC,3L7p8ut6TLxUUFPpad6KridxiMFy5EMNXuLhqtg9MruHMu5LSxARKNCRKEkawCSjypGDgxYTLdgPVqx6c6LEToEY,426984732,1781665498,,9135.48,8PbSk5ATKH27HaHpgMghXhwHzGhaRZ9Gm4hQbGmoiTzi,2gHXhhgMKX1sQdMHAatAktLWryAHECTXLqeCUbNnquwv
solana,USDC,zDxMud31uWdx7m1oVyVEEw1X2LEkretBzME9mnyoMrtfsZdkgouNFbruYsK46R51WxfS8ARaZKVtxbn1b1EDQMH,426984873,1781665553,,9823.42,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6,2QfBNK2WDwSLoUQRb1zAnp3KM12N9hQ8q6ApwUMnWW2T
solana,USDC,2JZCWP2FjuwHjz1V56jREcPdyH4QXFHX4WppD3Mr9CfQHEbqUzXGp2sV5LTnLXcJRZyZqeYC6ckQWe175qu6PzHi,426985004,1781665605,,9999.97,FUYyfnVhhRc3PoAyQhWYVGL5oN7BF69R6oSKFjz7jtEh,6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd
solana,USDC,hq6e8tvUGURUBvjveRgWQppSVXG2se9FV59ta92kCKoLLc8x8DwQRKJbKyTiaYyegqLYEWkRHjUeHBD6tW6LgNd,426985176,1781665674,,9606.20,FkaLnX17cXZGyeu3kZGdHCNdFMJJzBrPPYVvd18B3MZp,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6
solana,USDC,5Mx8AgAzpAUrvBmAELF3jcjQvB4WhLibcxMEBQoB75C83V6xzKzKJpQQMHzWpfiwR8YyZ9ZBvx18tFrYSstgxYjz,426985159,1781665667,,9967.13,FkaLnX17cXZGyeu3kZGdHCNdFMJJzBrPPYVvd18B3MZp,BhzSRj7bdH6435cjwEgGhqT5JGVC3A11EKvUoUh9cnxN
solana,USDC,4bYoV8VEu8uCM1nG8jVVBSXMEfYPVbvfKWzRqQcCzBBPusn8rSXfwqxecdqRBCfDVPYDj877LJdr3wypcyS9T1rz,426985051,1781665624,,9999.97,FUYyfnVhhRc3PoAyQhWYVGL5oN7BF69R6oSKFjz7jtEh,6qz7THwQvcjF3HyDGLuKaLBUk6EyJKeZXZMWLAeiwfjd
solana,USDC,5otHuF9qVRYgy569sZ5Bvbk7bW2B1gaeHzBopjqc6yMkTjuUTXpJmjTPSr52QBwLmCv6JUJPinWqWMamLQ2Scxns,426985041,1781665620,,9270.56,6AGp6zbGNuyZpmzeswv9KCNU15Rf37UQDqDqFAeHmS8d,DSzgmzz1Ms4qshdeCpE2uWenXXyNbkikw3bzfJRAv7JF
solana,USDC,5Vm5sfcCC9Wp9LsQgfbA2R83WU9FkNYMQrZ8D62e4RBqKajznjmCySSLDVGYDZLubTdoXCDNVWuZqHSjCDgECZr5,426985184,1781665677,,8695.96,41zCUJsKk6cMB94DDtm99qWmyMZfp4GkAhhuz4xTwePu,41zCUJsKk6cMB94DDtm99qWmyMZfp4GkAhhuz4xTwePu
solana,USDC,Kncc7JpmZU53NMLT6aTmRzJrEPUz4bNFZdKeP8pvVYKsNGmchA4bxUgh3SwZW6gEEn3txj79uu2FcVg1mEFBhNW,426984816,1781665531,,8401.84,FkaLnX17cXZGyeu3kZGdHCNdFMJJzBrPPYVvd18B3MZp,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6
solana,USDC,5CYarZnsw5MTkRgKWTWZYpGBxKwz6iY4sWiLUk6Pz97GVhtPPxhpmrA754auZwXgKdHZexdFizULAL4hcTeonrX,426985136,1781665657,,8657.29,7audCgMJAodvNwp7XXYpARq1v1NAdnB7C94Cq7HdnNk4,41zCUJsKk6cMB94DDtm99qWmyMZfp4GkAhhuz4xTwePu
solana,USDC,5fwfqe8BNzifGq11g4RdnFqkC29Xcv7NwuhPyw8VXXn6tpyTxiZiQQW5TtT9XC7E4zYmw1zaGok1g9bcg8ZypBed,426985347,1781665743,,8250.18,GJvewfRjqTUPtx6WsBSUnaFbdgXwgXnWfpDyLm65T4YA,9ToMYnmEeYKc1AWYAFo8yjPKM1bt3vPhgw1U6qh9RxBd
solana,USDC,3qXTELSMp3C1mdEWaa2gP27QUf54bu8veHkQcMpYjXr6Q6rUNLEPXyxpA9YnoW1PEJcAJbbqJEez1z2taukyN1uK,426985124,1781665652,,8205.03,GtwzYxBQcPFNFQcYbdELuaKzb4DGJpGVU2ehLhzbffCw,5GH9XeyjHjakgDmr4BQAr3FJ3rXsBwG1DVa7tSDjYyh3
solana,USDC,3zQDqbK7qZkLw6SWQvm2hsXeehKPbF9bCPG85Zu8FER3LBy878vFaSXkLjjBimS1U8u1jxfdSrUKh5cuzHRJmorD,426985309,1781665728,,8453.02,tAk2dJcryjcp3uco16mAT6j4YDbDuDBwkSzrJqKLJRY,6ZGDbmA22Yx36ztZhJHBtEU3DkEZXQtLRtakBDWjJP2Y
solana,USDC,4h6W4vqMpN9rnv5iCzznGoTFtrERwdRiR4e6US3G2UMU8mrVUoha5xUCwr1wVDGia6GqM41ToNF7pZ5Cnmu2RFdM,426984789,1781665520,,8019.86,Gj5DYFS6q3EfNraFhoj2uR77yb1DPLFumJkFEUzNgh33,CYW4BjTTSZiucUdJVfSjsvMHMcDvovA6gRPU7KKFrY7n
solana,USDC,5fiG1r3aZZ9TuSoJ4Quv1x1KDzEyvYmcfgMiaRrc3p8B2u3U2gyJb4ur33F7oLQUp8kHJwYjoFrX2rqU9GaPfpMr,426984816,1781665531,,8401.84,FkaLnX17cXZGyeu3kZGdHCNdFMJJzBrPPYVvd18B3MZp,5rCf1DM8LjKTw4YqhnoLcngyZYeNnQqztScTogYHAS6
solana,USDC,5vtAiR1w4PvCw5g4PXmppevZCRRazDEHJkE1aCEbZ2AvcPnRAtQ8nk51Lp9JHunWEpGm9eLeooySiGzpQkrWSS58,426985042,1781665620,,8289.07,8pY1AukbuPgUE3EetyLa59rFLMimJGT94ZzbMEZcQF4w,DSzgmzz1Ms4qshdeCpE2uWenXXyNbkikw3bzfJRAv7JF
solana,USDC,5vtAiR1w4PvCw5g4PXmppevZCRRazDEHJkE1aCEbZ2AvcPnRAtQ8nk51Lp9JHunWEpGm9eLeooySiGzpQkrWSS58,426985042,1781665620,,8290.01,ANCx141SujgVdbKz9NTEH8F38qWsnyyXsVju64aU3qLB,8pY1AukbuPgUE3EetyLa59rFLMimJGT94ZzbMEZcQF4w
solana,USDC,5k6G5yG4nmcNoP5gq1EKQ74LQcLsJL7zG7M5RgnLqf4dktPx9QKPKMdqtyXbg32ThDwBSxCXbhR2KUZjmsNE8pgN,426985347,1781665743,,7503.70,HxjwdF326ZunmUwC1iXhfgL3ku78YsksN6n7Rfxzwr6b,9ToMYnmEeYKc1AWYAFo8yjPKM1bt3vPhgw1U6qh9RxBd
